"cell_type","gene_identifier","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG duct","DMBT1","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG duct","SAA2","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG duct","RHOV","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG duct","MMP7","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG duct","ALDH1A3","","","","","","","","","","","","","","","","","","","","","","","",""
"SMG duct","ANKRD36C","","","","","","","","","","","","","","","","","","","","","","","",""
"AT1","AGER","","","","","","","","","","","","","","","","","","","","","","","",""
"AT1","CAV1","","","","","","","","","","","","","","","","","","","","","","","",""
"AT1","MYL9","","","","","","","","","","","","","","","","","","","","","","","",""
"AT1","SFTA2","","","","","","","","","","","","","","","","","","","","","","","",""
"AT1","CLIC3","","","","","","","","","","","","","","","","","","","","","","","",""
"AT1","SPOCK2","","","","","","","","","","","","","","","","","","","","","","","",""
"AT1","ANXA3","","","","","","","","","","","","","","","","","","","","","","","",""
"AT1","RTKN2","","","","","","","","","","","","","","","","","","","","","","","",""
"AT1","TIMP3","","","","","","","","","","","","","","","","","","","","","","","",""
"AT1","TNNC1","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2","SFTPB","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2","SFTPC","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2","SFTPA1","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2","SFTPA2","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2","SFTA2","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2","LAMP3","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2","LRRK2","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2","TFPI","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2","MFSD2A","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2","SERPINA1","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2 proliferating","STMN1","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2 proliferating","SFTPA2","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2 proliferating","SFTPA1","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2 proliferating","TYMS","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2 proliferating","TK1","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2 proliferating","PTTG1","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2 proliferating","KIAA0101","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2 proliferating","TOP2A","","","","","","","","","","","","","","","","","","","","","","","",""
"AT2 proliferating","CENPW","","","","","","","","","","","","","","","","","","","","","","","",""
