,gene_symbol,alias
582,GEMIN8,GEMIN8
583,OFD1,OFD1
584,GPM6B,GPM6B
585,PREX2,PREX2
586,WDR37,WDR37
587,YTHDC2,YTHDC2
588,CTPS2,CTPS2
589,ATP6V1H,ATP6V1H
590,POLR2B,POLR2B
591,FAM214A,FAM214A
592,ARAP2,ARAP2
593,TPR,TPR
594,CP,CP
595,KATNIP,KIAA0556
596,DTNBP1,DTNBP1
597,ANO2,ANO2
598,C12orf4,C12orf4
599,SCML1,SCML1
600,WWC3,WWC3
601,ARHGAP6,ARHGAP6
602,FAM184B,FAM184B
603,MAP4,MAP4
604,GOPC,GOPC
605,ROS1,ROS1
606,USP28,USP28
607,HDAC9,HDAC9
608,TSPAN17,TSPAN17
609,NOP16,NOP16
610,CC2D2A,CC2D2A
611,RRM2B,RRM2B
612,ZNF800,ZNF800
613,TNFRSF17,TNFRSF17
614,SNX29,SNX29
615,LMO3,LMO3
616,MRPS10,MRPS10
617,GUCA1A,GUCA1A
618,RSF1,RSF1
619,VPS13D,VPS13D
620,CELF2,CELF2
621,FAM120A,FAM120A
622,R3HDM1,R3HDM1
623,COL9A2,COL9A2
624,KITLG,KITLG
625,ERCC8,ERCC8
626,ADAMTS6,ADAMTS6
627,H6PD,H6PD
628,VAMP3,VAMP3
629,PER3,PER3
630,UTS2,UTS2
631,TNFRSF9,TNFRSF9
632,LTBP1,LTBP1
633,RCN1,RCN1
634,ELN,ELN
635,RFC2,RFC2
636,ARID1B,ARID1B
637,CLPTM1L,CLPTM1L
638,NEDD4L,NEDD4L
639,FOXP3,FOXP3
640,PPP1R3F,PPP1R3F
641,HEXB,HEXB
642,PTCD2,PTCD2
643,NEXMIF,NEXMIF
644,JKAMP,JKAMP
645,DKK3,DKK3
646,ARHGEF5,ARHGEF5
647,NFE2L3,NFE2L3
648,MCUR1,MCUR1
649,LIMA1,LIMA1
650,LETMD1,LETMD1
651,SLC4A8,SLC4A8
652,LAMC3,LAMC3
653,PTGER3,PTGER3
654,TNIP3,TNIP3
655,MAPK9,MAPK9
656,COL23A1,COL23A1
657,BCAR1,BCAR1
