Run,cell_type
SRR10791100,Smooth muscle cell
SRR10797318,Macrophage
SRR10793723,Club
SRR10788894,B cell
SRR10781159,T cell CD8
SRR10787244,Alveolar cell type 2
SRR10786605,Macrophage
SRR10798416,Monocyte non-conventional
SRR10795327,Endothelial cell
SRR10778588,T cell CD4
SRR10797200,B cell
SRR10779551,Pericyte
SRR10793384,pDC
SRR10787991,B cell
SRR10780968,NK cell
SRR10787654,Endothelial cell
SRR10789069,Monocyte non-conventional
SRR10778790,Fibroblast adventitial
SRR10794572,Macrophage
SRR10791234,Macrophage
SRR10784472,B cell
SRR10794302,Endothelial cell
SRR10783632,Epithelial cell other C1
SRR10787753,Macrophage
SRR10796390,Fibroblast adventitial
SRR10791723,Epithelial cell other C1
SRR10780220,Mast cell
SRR10793301,Endothelial cell lymphatic
SRR10794765,T cell regulatory
SRR10779781,T cell CD4
SRR10795554,Fibroblast adventitial
SRR10793918,Ciliated
SRR10788127,T cell CD4
SRR10794756,Fibroblast adventitial
SRR10797521,Smooth muscle cell
SRR10777529,Macrophage
SRR10779393,Mesothelial
SRR10787064,Basal
SRR10789021,Macrophage
SRR10795503,cDC2
SRR10787605,Macrophage
SRR10781542,Pericyte
SRR10777233,DC mature
SRR10784217,Macrophage
SRR10783176,Plasma cell
SRR10798072,Monocyte conventional
SRR10796141,T cell CD8
SRR10785945,Plasma cell
SRR10796348,Fibroblast alveolar
SRR10786361,Club
SRR10784166,NK cell
SRR10797309,Monocyte conventional
SRR10794906,Pericyte
SRR10793897,other C19
SRR10798198,Monocyte conventional
SRR10783867,other C21
SRR10793340,Epithelial cell other C1
SRR10797777,Monocyte non-conventional
SRR10793964,Monocyte non-conventional
SRR10796960,Macrophage
SRR10783939,Fibroblast adventitial
SRR10784486,Epithelial cell other C1
SRR10795508,T cell CD4
SRR10792038,Pericyte
SRR10787333,Alveolar cell type 2
SRR10777557,Macrophage
SRR10789222,Mast cell
SRR10778915,T cell CD4
SRR10790140,T cell CD8
SRR10788010,Endothelial cell
SRR10788124,B cell
SRR10796520,Alveolar cell type 2
SRR10796166,Macrophage
SRR10784194,Smooth muscle cell
