Run,cell_type
SRR10795260,T/NK cell
SRR10786664,Epithelial cells
SRR10779421,Myeloid cell
SRR10795977,Myeloid cell
SRR10789227,T/NK cell
SRR10796677,B cell plasma
SRR10796713,T/NK cell
SRR10798142,Endothelial cell
SRR10792659,B cell plasma
SRR10795341,Stromal
SRR10785202,T/NK cell
SRR10781462,Myeloid cell
SRR10777399,other
SRR10790848,T/NK cell
SRR10791551,Myeloid cell
SRR10788578,other
SRR10796409,Epithelial cells
SRR10786908,Stromal
SRR10792690,Myeloid cell
SRR10796094,Myeloid cell
SRR10784690,B cell
SRR10785809,Mast cell
SRR10789149,Myeloid cell
SRR10789515,Epithelial cells
SRR10794419,Myeloid cell
SRR10778314,T/NK cell
SRR10783653,Stromal
SRR10786202,Stromal
SRR10780221,plasmacytoid dendritic cell
SRR10789067,T/NK cell
SRR10779456,Epithelial cells
SRR10796996,Mast cell
SRR10791626,other
SRR10794831,B cell
SRR10788840,Mast cell
SRR10784662,T/NK cell
SRR10794201,Myeloid cell
SRR10797128,T/NK cell
SRR10782527,Myeloid cell
SRR10791736,B cell plasma
SRR10781853,Epithelial cells
SRR10782665,Stromal
SRR10786945,Stromal
SRR10785619,Epithelial cells
SRR10791730,Myeloid cell
SRR10793337,Epithelial cells
SRR10793249,T/NK cell
SRR10780893,other
SRR10778075,Stromal
SRR10793396,Myeloid cell
SRR10789101,other
SRR10788691,Epithelial cells
SRR10797610,T/NK cell
SRR10780732,B cell plasma
SRR10796475,Myeloid cell
SRR10788733,Myeloid cell
SRR10798205,Myeloid cell
SRR10791263,T/NK cell
SRR10785901,Mast cell
SRR10798051,T/NK cell
SRR10795268,Stromal
SRR10786937,T/NK cell
SRR10794830,B cell
SRR10778321,Myeloid cell
SRR10785435,T/NK cell
SRR10798145,Stromal
SRR10793332,Stromal
SRR10789677,Myeloid cell
SRR10778795,Epithelial cells
SRR10781691,Endothelial cell
SRR10781604,Epithelial cells
SRR10795390,Myeloid cell
SRR10794952,other
SRR10792615,Mast cell
SRR10794554,Ciliated
SRR10796441,Myeloid cell
SRR10785779,T/NK cell
SRR10787031,B cell plasma
SRR10787294,T/NK cell
SRR10787691,Myeloid cell
SRR10788834,Stromal
SRR10785830,Endothelial cell
SRR10780746,Myeloid cell
SRR10791393,B cell plasma
SRR10784481,Stromal
SRR10784473,Myeloid cell
SRR10785443,Epithelial cells
SRR10790135,Mast cell
SRR10792390,B cell
SRR10795474,other
SRR10797443,other
SRR10783078,Mast cell
SRR10780334,Myeloid cell
SRR10777230,Epithelial cells
SRR10779116,Stromal
SRR10782913,T/NK cell
SRR10790456,T/NK cell
SRR10797207,B cell plasma
SRR10789833,B cell
SRR10780580,Stromal
SRR10782939,Myeloid cell
SRR10796992,B cell plasma
SRR10784447,T/NK cell
SRR10786649,Endothelial cell
SRR10791255,Stromal
SRR10793045,Stromal
SRR10791981,other
SRR10796008,Myeloid cell
SRR10786589,T/NK cell
SRR10786962,T/NK cell
SRR10796371,T/NK cell
SRR10791793,T/NK cell
SRR10777355,other
SRR10794032,Epithelial cells
SRR10781505,Stromal
SRR10798029,Epithelial cells
SRR10783374,Epithelial cells
SRR10791132,other
SRR10784333,T/NK cell
SRR10790565,other
SRR10798127,T/NK cell
SRR10795265,T/NK cell
SRR10795709,T/NK cell
SRR10778849,Myeloid cell
SRR10793314,Stromal
SRR10780624,Epithelial cells
SRR10795811,T/NK cell
SRR10795595,Mast cell
SRR10779935,Myeloid cell
SRR10793415,Myeloid cell
SRR10778514,Endothelial cell
SRR10787135,Myeloid cell
SRR10795980,Stromal
SRR10780693,other
SRR10786951,other
SRR10795490,other
SRR10786644,T/NK cell
SRR10777390,Myeloid cell
SRR10779244,Myeloid cell
SRR10787001,Epithelial cells
SRR10793567,Stromal
SRR10794461,T/NK cell
SRR10786102,other
SRR10795053,B cell plasma
SRR10784406,Stromal
SRR10777241,Myeloid cell
SRR10790937,Epithelial cells
SRR10787309,Myeloid cell
SRR10782184,other
SRR10795622,Epithelial cells
SRR10796849,Endothelial cell
SRR10788652,Myeloid cell
SRR10784968,other
SRR10791321,other
SRR10796281,Myeloid cell
